SUBURB_NAME,DATE_MONTH,avg_land_value,property_count,DATE_MONTH_QDATE,property_count_int,avg_land_value_decimal
MOORONG,2017-07-01,"463996.86868686869","99",2017/07/01,"99",463996.87
TULLAKOOL,2019-07-01,"463985.68181818188","44",2019/07/01,"44",463985.68
TULLAKOOL,2020-07-01,"463985.68181818182","44",2020/07/01,"44",463985.68
NASHDALE,2017-07-01,"463970.58823529416","136",2017/07/01,"136",463970.59
BUTTERWICK,2020-07-01,"463920.31746031746","63",2020/07/01,"63",463920.32
ARKELL,2017-07-01,"463727.27272727271","33",2017/07/01,"33",463727.27
MCGRATHS HILL,2017-07-01,"463725.80287929124","903",2017/07/01,"903",463725.80
MILLERS FOREST,2019-07-01,"463725.64935064927","154",2019/07/01,"154",463725.65
WAMBOOL,2017-07-01,"463664.4444444445","18",2017/07/01,"18",463664.44
TUNCESTER,2019-07-01,"463641.93548387097","31",2019/07/01,"31",463641.94
KOOLEWONG,2018-07-01,"463612.19114219118","429",2018/07/01,"429",463612.19
GLEDSWOOD HILLS,2017-07-01,"463608.54700854723","1755",2017/07/01,"1755",463608.55
ORAN PARK,2019-07-01,"463583.22535457887","5711",2019/07/01,"5711",463583.23
MARKS POINT,2019-07-01,"463579.73727421986","609",2019/07/01,"609",463579.74
YELLOW DAM,2019-07-01,"463538.46153846156","13",2019/07/01,"13",463538.46
REEFTON,2017-07-01,"463511.11111111107","36",2017/07/01,"36",463511.11
CRAVEN,2020-07-01,"463508.16326530615","98",2020/07/01,"98",463508.16
QUAKERS HILL,2019-07-01,"463373.00151591725","7916",2019/07/01,"7916",463373.00
SUN VALLEY,2016-07-01,"463366.66666666663","87",2016/07/01,"87",463366.67
BONNYRIGG HEIGHTS,2016-07-01,"463282.32098765427","2025",2016/07/01,"2025",463282.32
HECKENBERG,2017-07-01,"463257.57158006349","943",2017/07/01,"943",463257.57
CARROLLS CREEK,2016-07-01,"463250","4",2016/07/01,"4",463250.00
MEERSCHAUM VALE,2020-07-01,"463246.09929078008","141",2020/07/01,"141",463246.10
QUAKERS HILL,2017-07-01,"463208.61621482729","7783",2017/07/01,"7783",463208.62
RICHMOND VALE,2017-07-01,"463201.78571428574","56",2017/07/01,"56",463201.79
ROOTY HILL,2017-07-01,"463198.49505953852","3947",2017/07/01,"3947",463198.50
THIRLMERE,2019-07-01,"463151.8602207044","1903",2019/07/01,"1903",463151.86
ROUS MILL,2016-07-01,"463135.80246913579","81",2016/07/01,"81",463135.80
CANOBOLAS,2018-07-01,"463079.21212121221","165",2018/07/01,"165",463079.21
CAMBEWARRA,2017-07-01,"463072.41206030152","199",2017/07/01,"199",463072.41
NORTH DORRIGO,2019-07-01,"463041.34615384624","104",2019/07/01,"104",463041.35
ALLYNBROOK,2018-07-01,"463035.2","50",2018/07/01,"50",463035.20
TAPITALLEE,2016-07-01,"462837.36220472428","254",2016/07/01,"254",462837.36
UNANDERRA,2019-07-01,"462704.18308702786","2436",2019/07/01,"2436",462704.18
JERRABATTGULLA,2020-07-01,"462653.84615384619","26",2020/07/01,"26",462653.85
ROYALLA,2016-07-01,"462598.18965517241","348",2016/07/01,"348",462598.19
SANDY CREEK,2017-07-01,"462597.33333333331","60",2017/07/01,"60",462597.33
GRANTS BEACH,2016-07-01,"462480","5",2016/07/01,"5",462480.00
FINGAL BAY,2018-07-01,"462472.00488997565","818",2018/07/01,"818",462472.00
CARRS PENINSULA,2018-07-01,"462428.57142857142","7",2018/07/01,"7",462428.57
MOUNT MITCHELL,2016-07-01,"462420.76923076925","78",2016/07/01,"78",462420.77
HAROLDS CROSS,2018-07-01,"462391.111111111","63",2018/07/01,"63",462391.11
MANTON,2019-07-01,"462373.25396825396","126",2019/07/01,"126",462373.25
GANBENANG,2019-07-01,"462257.74774774775","111",2019/07/01,"111",462257.75
PARMA,2016-07-01,"462220.58823529421","68",2016/07/01,"68",462220.59
JACKSONS FLAT,2019-07-01,"462050","10",2019/07/01,"10",462050.00
MOUNT DAVID,2019-07-01,"462020.92105263175","76",2019/07/01,"76",462020.92
LOWER DUCK CREEK,2018-07-01,"461984.16666666669","24",2018/07/01,"24",461984.17
CAMBRA,2017-07-01,"461974.99999999994","24",2017/07/01,"24",461975.00
GLENIFFER,2017-07-01,"461939.6875","160",2017/07/01,"160",461939.69
JACKSONS FLAT,2018-07-01,"461850","10",2018/07/01,"10",461850.00
GUNNINGRAH,2016-07-01,"461786.66666666669","15",2016/07/01,"15",461786.67
ACACIA GARDENS,2018-07-01,"461642.85208148794","1129",2018/07/01,"1129",461642.85
ORAN PARK,2018-07-01,"461642.821934689","4869",2018/07/01,"4869",461642.82
OLINDA,2018-07-01,"461605.90909090912","22",2018/07/01,"22",461605.91
ALISON,2016-07-01,"461528.54166666674","96",2016/07/01,"96",461528.54
CARRABOLLA,2017-07-01,"461523.68421052629","38",2017/07/01,"38",461523.68
GREGORY HILLS,2017-07-01,"461492.83893395151","2589",2017/07/01,"2589",461492.84
DARBALARA,2016-07-01,"461462.6585365854","41",2016/07/01,"41",461462.66
SHOAL BAY,2019-07-01,"461438.92694063939","876",2019/07/01,"876",461438.93
DEWITT,2017-07-01,"461415.38461538462","13",2017/07/01,"13",461415.38
BALLINA,2019-07-01,"461400.35045811551","3056",2019/07/01,"3056",461400.35
ALLANDALE,2018-07-01,"461391.25000000012","40",2018/07/01,"40",461391.25
GREEN VALLEY,2020-07-01,"461375.72521246446","3530",2020/07/01,"3530",461375.73
TICHBORNE,2019-07-01,"461363.50877192972","57",2019/07/01,"57",461363.51
WAMBANGALANG,2017-07-01,"461335.25000000006","40",2017/07/01,"40",461335.25
PAGES RIVER,2016-07-01,"461333.33333333331","6",2016/07/01,"6",461333.33
BOONA MOUNT,2016-07-01,"461326.66666666663","24",2016/07/01,"24",461326.67
CAVES BEACH,2017-07-01,"461316.46816037723","1696",2017/07/01,"1696",461316.47
CAPOOMPETA,2020-07-01,"461290","10",2020/07/01,"10",461290.00
HACKS FERRY,2018-07-01,"461228.57142857142","7",2018/07/01,"7",461228.57
MERYLA,2018-07-01,"461210.5263157895","19",2018/07/01,"19",461210.53
MERYLA,2019-07-01,"461210.5263157895","19",2019/07/01,"19",461210.53
GLENMORE PARK,2020-07-01,"461149.24771573569","7880",2020/07/01,"7880",461149.25
MULLAMUDDY,2019-07-01,"461094.18604651163","43",2019/07/01,"43",461094.19
STONY CROSSING,2019-07-01,"460996.4705882353","17",2019/07/01,"17",460996.47
ECCLESTON,2016-07-01,"460929.01960784319","51",2016/07/01,"51",460929.02
CURRAWANG,2016-07-01,"460892.10937499994","128",2016/07/01,"128",460892.11
RED RANGE,2018-07-01,"460864.38356164395","146",2018/07/01,"146",460864.38
WASHPOOL,2020-07-01,"460859.4117647059","17",2020/07/01,"17",460859.41
